index,1 days,5 days,10 days,15 days,20 days,25 days,30 days,35 days,40 days,45 days,50 days,55 days,60 days,65 days,70 days,75 days,80 days,85 days,90 days
2010-12-31,17.485256,17.644558,17.03012,16.345982,16.327803,16.4094,15.895645,16.241459,15.663847,15.825525,15.530876,15.312167,14.528089,14.187425,14.17214,13.034976,12.722756,13.088712,12.272413
2011-01-01,16.608845,16.631842,16.303867,15.551105,15.527869,15.49416,15.304679,15.461094,15.091738,15.206359,14.839507,14.498021,13.892154,13.52098,13.550829,12.300644,12.132203,12.533913,11.8090105
2011-01-02,16.093132,16.092558,15.29901,15.203339,14.906003,14.821391,14.545913,14.681493,14.071592,14.661806,14.054683,13.728958,13.023034,12.757323,12.614055,11.432145,11.464256,11.411874,10.749159
2011-01-03,16.07,16.027908,15.454089,15.244675,14.951814,14.695719,14.288883,14.708232,13.980111,14.39104,13.758851,13.512558,12.803646,12.537571,12.317667,11.083509,11.211508,11.03039,10.3204975
2011-01-04,16.696629,16.865955,16.054419,15.70842,15.474576,15.356497,14.905256,15.159178,14.47035,15.035455,14.504768,14.264909,13.62904,13.278971,13.303782,12.194246,12.156367,12.177476,11.348471
2011-01-05,17.283182,17.598904,16.685902,16.023252,16.215609,16.018549,15.64603,15.701893,15.291797,15.393656,15.26436,14.91523,14.19112,13.667086,14.197649,12.619263,12.498302,13.266118,12.725184
2011-01-06,16.941387,16.637884,15.99806,15.816986,15.662806,15.30055,14.826916,15.195761,14.382681,14.562439,14.060524,13.889452,13.43887,13.19243,12.759905,11.590185,11.885044,11.55658,11.565106
2011-01-07,16.15903,16.005564,15.366301,15.243594,15.05688,14.533023,14.545495,14.614872,13.84401,13.954494,13.3719635,13.5225935,13.119202,12.567414,11.98212,11.375926,11.289655,10.960956,10.535571
2011-01-08,16.0187,15.9368105,15.2183485,15.27051,14.719874,14.767482,14.180261,14.797598,13.839889,14.047251,13.433776,13.695635,13.022558,12.638798,11.817149,11.596654,11.147558,10.656191,10.071053
2011-01-09,16.26427,16.693066,15.629816,15.394939,15.09978,15.135845,14.941063,14.948593,14.547512,14.697905,14.498513,14.437192,13.738359,13.263702,13.176132,12.407123,12.148628,12.130547,11.317098
2011-01-10,15.432887,15.993442,14.995684,14.575481,14.181459,13.976158,13.940037,14.430925,13.411974,13.980948,13.451527,13.508611,12.633306,12.197607,12.232126,10.990014,10.899569,10.916201,9.852791
2011-01-11,14.769762,15.049462,14.836592,14.056036,13.672758,13.879951,13.622786,13.904495,13.283926,13.624662,13.090836,12.924613,12.340017,11.870693,11.538686,10.433986,10.509037,10.452965,9.388831
2011-01-12,15.268513,15.492264,15.193468,14.665434,14.203669,14.560705,13.9375515,14.170599,13.806997,14.107458,13.78085,13.131342,12.561627,12.136567,11.79587,10.943509,10.749157,10.9895115,9.672582
2011-01-13,14.94199,15.214998,15.013246,14.268667,13.80111,14.122846,13.983131,14.218773,13.689455,14.041525,13.489353,13.075918,12.157238,12.014261,11.415524,11.022441,10.2564745,10.637248,9.122508
2011-01-14,15.372543,15.360004,15.183796,14.514971,14.366941,13.882387,13.98811,14.313475,13.292655,13.78374,13.0213,12.9810095,12.484331,11.890164,11.349816,10.279559,10.552343,10.619138,9.604121
2011-01-15,16.3584,16.163624,15.767879,15.434113,15.291806,14.8700695,14.573037,14.76476,14.083203,14.284501,13.618534,13.445748,12.976354,12.747388,12.231649,11.138966,11.433237,11.170452,10.754813
2011-01-16,16.814651,16.91909,15.941091,15.559339,15.461428,15.311337,14.79211,15.105799,14.522474,14.526276,14.205786,14.304916,13.482345,13.103833,12.84602,11.997761,11.990106,11.931916,11.018034
2011-01-17,16.920433,17.039127,16.342865,15.678917,15.541067,15.480551,15.107134,15.320958,14.954784,14.759236,14.48343,14.569295,13.826978,13.338206,13.218985,12.314049,12.193691,12.247367,11.230354
2011-01-18,16.069036,16.02449,15.22203,15.307333,14.94708,14.709837,14.388781,14.388122,13.879442,14.066817,13.506283,13.412987,12.7884655,12.617899,12.015221,11.287268,11.289934,10.909088,10.435646
2011-01-19,15.848255,16.13813,15.286185,14.903622,14.6936245,14.345045,14.365094,14.4920635,13.807839,14.185269,13.635572,13.647435,12.78239,12.48795,12.292932,11.2135515,11.225721,11.188914,10.121226
2011-01-20,16.117666,16.390482,15.50141,15.175954,14.903378,14.570507,14.439552,14.60194,13.945072,14.156245,13.71749,13.713249,12.912901,12.654368,12.43383,11.378141,11.402429,11.332863,10.452477
2011-01-21,15.79889,16.136812,15.295526,14.947535,14.653934,14.352403,14.320999,14.442691,13.828764,14.165094,13.64142,13.613277,12.776628,12.544576,12.341769,11.294983,11.283038,11.228071,10.182686
2011-01-22,15.690595,15.531839,14.9210005,15.182338,14.642412,14.597323,14.137447,14.246153,13.596539,14.091984,13.316187,13.104205,12.678238,12.419348,11.653466,10.993736,10.960035,10.551217,10.220888
2011-01-23,16.242544,16.023254,15.242874,15.578243,15.198905,15.039082,14.523045,14.460957,13.996954,14.4002,13.7014475,13.395464,12.901932,12.805186,12.2118845,11.386327,11.473559,11.039811,10.802244
2011-01-24,15.779356,15.494286,15.197358,15.241381,14.837772,14.462946,14.1137905,14.164685,13.462132,13.8829975,13.118129,12.731632,12.481325,12.24838,11.477337,10.740496,10.9371805,10.432176,10.083788
